n,lamb,genErrRMT,genErrEmp
100,1,0.8321474794564214,
100,10,0.7865043134001981,
100,200,0.5881728530463582,
132,1,0.8692939217672752,
132,10,0.7996114590668969,
132,200,0.5699682525745317,
174,1,0.9257159280555873,
174,10,0.8134052420530357,
174,200,0.5518362158104435,
230,1,1.021820217740488,
230,10,0.826978863421793,
230,200,0.5336726349891321,
300,1,1.1784583855631323,1.324161410331726
300,10,0.8331050763126898,0.8993456363677979
300,200,0.5168510933465008,0.5361202359199524
305,1,1.190899399755615,
305,10,0.8329841837307478,
305,200,0.5158280438809527,
311,1,1.2059664321441625,1.3895670175552368
311,10,0.8327366150114934,0.8723568320274353
311,200,0.5146264055768234,0.5405598282814026
322,1,1.2338799130035467,1.350630283355713
322,10,0.8319938238557568,0.9199104309082031
322,200,0.5124939075826269,0.5171781182289124
334,1,1.2645376238928965,1.6038007736206055
334,10,0.8307615586507805,0.8445513248443604
334,200,0.5102655543482262,0.5203765034675598
347,1,1.2976102127126818,1.4716424942016602
347,10,0.8289421646120457,0.8646017909049988
347,200,0.5079589802765053,0.5263849496841431
360,1,1.3300485835958122,1.616683840751648
360,10,0.8266381402216298,0.8869821429252625
360,200,0.5057560072704174,0.5315253138542175
373,1,1.361280689617982,1.4267042875289917
373,10,0.8238740685095547,0.845012903213501
373,200,0.5036494198821247,0.5205002427101135
387,1,1.3928458143680627,1.4065370559692383
387,10,0.8204166465415297,0.8250238299369812
387,200,0.5014808189566494,0.5173696875572205
401,1,1.4214598073761158,1.6324437856674194
401,10,0.8165005529209689,0.8515220284461975
401,200,0.49940855851023747,0.515082597732544
403,1,1.4252578899653667,
403,10,0.8159062382922928,
403,200,0.4991199850321055,
416,1,1.4479121909485626,1.732596755027771
416,10,0.8118456882594558,0.8296329379081726
416,200,0.49728756357686105,0.5025346875190735
432,1,1.4703211424087936,1.5885530710220337
432,10,0.8064190350343857,0.7738263010978699
432,200,0.4951299888500234,0.5174513459205627
448,1,1.485856126319274,1.7479597330093384
448,10,0.8005833666433995,0.8208716511726379
448,200,0.493072523034303,0.5232077240943909
464,1,1.493946874423486,1.6311992406845093
464,10,0.7944062689157257,0.8139036297798157
464,200,0.4911078679552356,0.5155919194221497
482,1,1.4939550530933317,1.5846238136291504
482,10,0.7871292019010631,0.8415674567222595
482,200,0.48900014252781154,0.49996259808540344
500,1,1.484717612374582,1.4327906370162964
500,10,0.7795877661645167,0.7771679759025574
500,200,0.48699276512506745,0.4942873418331146
532,1,1.448672318222974,
532,10,0.7657659492796227,
532,200,0.4836486921116958,
704,1,1.116264004157086,
704,10,0.693392116744076,
704,200,0.4693883352208142,
930,1,0.8363698642233722,
930,10,0.6214934005212299,
930,200,0.4565929230780455,
1230,1,0.6724585718576119,
1230,10,0.5614129241609706,
1230,200,0.44508997249464055,
1625,1,0.5763255241208578,
1625,10,0.5154351810613205,
1625,200,0.43490497630597513,
2148,1,0.5161255412865513,
2148,10,0.48102011061995525,
2148,200,0.42589597062844015,
2839,1,0.47653479202416954,
2839,10,0.45547511449469946,
2839,200,0.41800886493953826,
3753,1,0.4494327558741923,
3753,10,0.43643917606389715,
3753,200,0.4111589609383289,
4960,1,0.4303715268096317,
4960,10,0.4221963045028067,
4960,200,0.40527865412658504,
6555,1,0.41666945003399564,
6555,10,0.41146695701673275,
6555,200,0.4002788278058686,
8663,1,0.40666742324892247,
8663,10,0.4033413129431006,
8663,200,0.3960703012355692,
11450,1,0.39928300222038016,
11450,10,0.39716016147413225,
11450,200,0.39255997646782886,
15132,1,0.39379092027656704,
15132,10,0.39244632975533983,
15132,200,0.3896579131672225,
20000,1,0.38967905966101074,
20000,10,0.3888403257324336,
20000,200,0.3872729198662613,
